action_label,network_generation,network_latency_ms,packet_loss_pct,network_jitter_ms,gateway_latency_ms,gateway_failure_rate_pct,gateway_timeout_rate_pct,bank_latency_ms,bank_failure_rate_pct,bank_timeout_rate_pct,total_latency_ms,transaction_age_ms,retry_count,order_amount_inr,error_code_category,is_timeout_flag,true_network_degradation,true_gateway_degradation,true_bank_degradation
2,Wi-Fi 6/7,27.91,0.0475,4.5,590.49,0.4824,0.3273,213.68,0.2562,1.3211,832.08,7490.39,1,33025.52,2,0,1.46,63.68,8.29
2,Wi-Fi 6/7,27.63,0.2585,1.53,1044.79,0.3959,0.3872,298.78,0.1293,1.0774,1371.2,2660.02,0,34585.76,2,1,2.0,78.69,6.62
1,Wi-Fi 6/7,45.31,0.1259,2.15,81.13,0.0861,0.2345,1072.61,1.0176,1.9876,1199.05,3075.65,1,13568.66,3,0,2.29,12.36,74.83
2,4G/LTE,75.96,0.6588,14.98,759.87,0.426,0.4484,329.44,0.1944,1.4609,1165.27,6851.27,0,13934.03,2,1,10.95,73.84,15.07
2,5G,48.99,0.0365,4.95,659.32,0.2824,0.3091,207.38,0.1516,1.496,915.69,2036.23,2,23086.23,2,0,2.77,51.79,8.73
2,4G/LTE,74.19,0.2562,7.65,788.05,0.2826,0.344,313.78,0.2905,1.7281,1176.02,3549.36,1,40109.68,2,0,6.34,58.81,20.01
1,5G,16.71,0.0768,1.1,75.06,0.1385,0.1784,763.41,1.1112,2.7404,855.18,5090.07,2,47478.56,3,1,0.46,12.11,72.33
3,5G,231.64,5.0334,49.99,70.9,0.0793,0.2922,211.66,0.286,1.1717,514.2,613.85,0,593.23,1,0,56.16,15.12,6.48
1,2G/EDGE,626.91,2.6581,36.86,112.51,0.0874,0.2777,627.37,1.3862,2.9172,1366.79,7543.79,0,43062.9,3,1,61.61,16.32,73.09
3,3G,475.38,2.8238,75.26,99.26,0.0596,0.104,346.96,0.1925,1.7158,921.6,6409.16,0,17363.5,1,0,63.73,3.11,19.74
1,5G,25.29,0.2366,6.23,43.67,0.0879,0.2427,876.35,0.7857,2.3369,945.31,2167.02,0,18895.34,3,1,2.94,11.58,66.12
2,5G,25.93,0.4306,6.28,908.64,0.4449,0.3098,203.7,0.2201,1.5791,1138.27,1499.01,3,11509.98,2,0,4.16,72.01,11.02
2,3G,194.81,1.1634,22.18,489.61,0.4097,0.395,283.88,0.2343,1.2286,968.3,3481.21,1,49117.55,2,1,23.03,59.28,10.02
1,4G/LTE,100.28,0.3148,6.32,123.39,0.0722,0.2233,653.87,0.9559,1.9708,877.54,7891.75,0,33501.47,3,0,7.85,12.31,52.54
1,4G/LTE,30.01,0.7862,6.75,51.31,0.1297,0.2833,944.76,0.7242,1.9582,1026.08,2061.42,2,46557.05,3,0,6.66,17.19,62.76
2,4G/LTE,96.81,0.8442,6.9,390.84,0.4736,0.3966,234.03,0.207,1.696,721.68,1671.07,1,41731.63,2,1,10.98,59.93,14.05
3,5G,163.22,3.4814,59.53,76.28,0.1058,0.1661,221.25,0.1612,1.3396,460.75,1887.38,1,27047.76,1,0,45.75,9.21,7.25
2,4G/LTE,99.59,0.7141,4.27,499.88,0.2198,0.4147,281.25,0.1367,1.5213,880.72,3006.41,2,34230.74,0,1,9.61,48.23,12.54
3,5G,395.83,1.4252,35.62,137.5,0.0618,0.2968,321.42,0.1825,1.0016,854.75,3753.82,0,42882.46,1,0,40.26,16.74,7.57
1,4G/LTE,71.46,0.6187,8.19,115.85,0.1377,0.233,737.08,1.1987,2.66,924.39,6789.33,0,39974.01,0,1,8.51,17.0,71.37
3,4G/LTE,264.48,3.8059,46.86,96.46,0.1473,0.2167,335.81,0.2116,1.5935,696.75,1863.33,0,32541.47,1,0,50.03,15.9,17.69
1,4G/LTE,30.89,0.3842,10.98,117.69,0.1171,0.1112,883.46,1.4427,2.2249,1032.04,6354.82,3,39561.51,3,1,5.51,8.09,76.52
3,5G,757.23,3.4574,56.29,74.96,0.084,0.198,340.76,0.119,1.5468,1172.95,6468.48,3,23694.88,1,1,79.62,9.7,15.58
1,2G/EDGE,621.62,3.3632,29.36,137.45,0.0649,0.2642,790.11,0.9603,2.1895,1549.18,644.69,1,36243.31,3,1,63.39,14.91,62.71
1,5G,32.1,0.4252,3.18,128.41,0.1105,0.2389,746.73,0.7099,2.9622,907.24,7240.04,1,28250.54,0,1,3.6,16.03,67.66
1,3G,111.44,1.5841,20.26,77.8,0.0616,0.1024,501.85,1.0356,1.9457,691.09,7202.57,1,46726.06,0,0,20.1,2.34,45.99
3,Wi-Fi 6/7,490.74,2.4088,26.64,134.1,0.121,0.1784,358.31,0.1595,1.4735,983.15,771.61,1,8180.71,0,0,49.18,13.16,16.08
2,5G,53.2,0.037,2.55,931.38,0.3573,0.4264,200.61,0.1773,1.3577,1185.19,1798.91,0,41250.95,2,1,2.33,74.31,6.78
1,5G,30.29,0.0385,7.96,45.78,0.1543,0.2967,469.77,0.9426,1.9213,545.84,779.65,1,49835.01,3,0,2.54,19.46,42.35
1,5G,36.82,0.4933,8.0,126.95,0.164,0.1773,633.63,1.1303,2.0616,797.4,3891.64,1,27570.56,3,1,5.66,15.69,56.0
3,5G,401.22,2.8661,49.96,52.04,0.1199,0.2385,381.55,0.2262,1.1908,834.81,3446.44,0,35109.45,0,0,53.32,13.77,14.19
1,4G/LTE,38.44,0.2553,6.42,52.48,0.1582,0.2584,734.02,0.8313,2.2766,824.94,615.66,1,37143.27,3,1,3.88,17.58,58.91
3,5G,616.92,1.8477,40.39,47.05,0.0828,0.1156,225.96,0.1563,1.0783,889.93,1182.91,1,390.13,0,1,57.17,3.43,3.48
2,4G/LTE,70.44,0.1753,5.05,384.25,0.3912,0.4861,226.94,0.1878,1.2377,681.63,3674.02,1,2184.62,2,1,4.89,59.79,6.48
1,5G,27.24,0.4842,5.86,44.66,0.0996,0.2127,411.49,1.1194,2.5587,483.39,5421.71,1,46997.85,0,1,4.43,10.53,52.16
2,5G,42.0,0.228,2.75,309.28,0.2959,0.3844,235.38,0.1938,1.565,586.66,2102.88,1,29640.72,2,1,2.88,44.27,11.92
1,4G/LTE,99.9,0.0844,14.81,85.49,0.1039,0.1585,977.63,1.0309,2.9429,1163.02,4004.09,1,21777.46,3,1,8.87,8.96,84.65
2,3G,228.29,0.987,11.0,550.47,0.4433,0.458,337.84,0.177,1.505,1116.6,2857.94,2,49243.63,2,1,20.75,67.74,15.84
1,4G/LTE,74.93,0.1593,9.64,43.9,0.1653,0.2911,661.57,1.196,2.0268,780.4,1828.72,0,26236.32,3,1,6.37,19.78,58.05
1,5G,27.32,0.1848,5.61,47.56,0.0941,0.1732,615.98,1.1326,2.911,690.86,5538.36,1,46225.13,0,1,2.57,7.8,67.9
3,4G/LTE,573.8,2.7273,61.78,75.11,0.0833,0.1136,277.36,0.1103,1.3861,926.27,4435.39,1,43998.38,1,1,66.02,4.39,9.84
1,4G/LTE,85.39,0.5581,10.16,81.58,0.095,0.1097,973.79,1.2149,2.0925,1140.76,6527.11,1,15376.56,0,1,9.53,5.17,74.99
3,5G,314.12,1.3672,58.17,43.29,0.1206,0.2066,228.21,0.198,1.2358,585.62,6638.11,1,21752.97,1,0,41.55,11.49,6.7
3,4G/LTE,400.19,3.7988,40.97,133.65,0.1463,0.2473,357.25,0.2601,1.5977,891.09,5397.44,1,45866.86,0,0,56.29,19.14,19.69
1,5G,19.84,0.4284,2.24,76.72,0.1433,0.2211,801.88,1.3959,2.8412,898.44,7313.02,2,47908.24,3,1,2.64,15.17,80.85
3,4G/LTE,773.95,4.1803,72.93,127.49,0.1391,0.1695,299.1,0.1007,1.7747,1200.54,4325.74,2,8598.9,1,1,89.43,13.56,16.59
1,Wi-Fi 6/7,25.87,0.0504,3.29,77.58,0.1366,0.1877,794.61,1.0789,2.9455,898.06,1757.13,2,13078.51,0,1,1.02,12.66,76.39
2,4G/LTE,70.54,0.2783,8.49,546.55,0.2447,0.348,247.33,0.2621,1.5498,864.42,2686.19,2,43196.9,2,0,6.5,47.48,13.51
2,3G,163.48,1.9941,9.17,371.0,0.3809,0.3468,210.76,0.1105,1.4473,745.24,5739.85,0,25017.59,2,0,22.45,49.9,7.44
2,Wi-Fi 6/7,14.06,0.2922,1.93,377.65,0.3618,0.3545,236.92,0.2808,1.4412,628.63,6274.97,0,44299.35,2,1,1.75,49.35,11.69
1,3G,266.22,0.5916,9.89,128.0,0.1166,0.1314,658.79,1.1723,2.9485,1053.01,6190.89,0,21707.44,3,1,20.29,9.7,71.32
1,2G/EDGE,454.43,2.5064,32.17,117.13,0.0553,0.2075,675.27,1.295,2.5227,1246.83,7879.83,3,29684.85,3,1,49.21,9.96,67.94
1,5G,17.16,0.173,7.4,93.73,0.1335,0.2296,1095.09,1.4476,2.7847,1205.98,1205.02,2,1433.44,0,1,2.58,15.68,95.59
3,4G/LTE,404.99,2.0815,48.48,130.75,0.1136,0.2481,355.1,0.2156,1.267,890.84,4243.57,2,13305.4,1,0,48.42,16.9,13.82
3,3G,616.58,3.7444,39.9,95.68,0.0854,0.137,247.68,0.1672,1.67,959.94,7894.96,0,41093.74,1,1,68.39,6.76,13.63
3,5G,524.04,4.0167,32.26,110.65,0.0801,0.2572,206.14,0.1538,1.2063,840.83,4517.06,1,12254.67,1,1,62.4,14.48,4.36
3,4G/LTE,353.85,1.9915,46.65,133.77,0.1011,0.2343,364.62,0.293,1.6436,852.24,863.6,2,36507.64,0,0,44.34,15.32,21.33
3,2G/EDGE,973.16,4.2899,54.36,58.72,0.1048,0.2381,340.09,0.1559,1.7578,1371.97,5167.42,2,14276.89,1,1,90.7,12.99,19.37
1,2G/EDGE,517.23,3.8061,36.56,68.55,0.0736,0.1898,1016.63,0.9904,1.8747,1602.41,592.21,3,33245.74,3,0,61.96,8.26,69.85
1,4G/LTE,104.71,0.7872,8.98,139.94,0.1193,0.2393,861.23,1.3389,2.4859,1105.88,5398.04,0,5504.23,3,1,11.7,17.07,77.47
2,2G/EDGE,520.95,1.3855,19.62,664.5,0.3586,0.3338,257.02,0.2012,1.2919,1442.47,3386.38,2,5847.17,0,0,42.81,58.6,9.04
3,4G/LTE,269.42,3.4577,39.32,128.68,0.159,0.1124,255.38,0.1601,1.6934,653.48,6950.01,3,28167.27,1,0,46.08,11.37,14.24
3,4G/LTE,670.67,4.0567,46.27,125.1,0.1505,0.1488,383.67,0.2559,1.713,1179.44,3792.92,0,16823.87,1,1,75.26,12.94,22.66
3,4G/LTE,775.18,2.6889,71.14,78.91,0.1443,0.1104,200.83,0.1451,1.0309,1054.92,3738.8,3,8705.16,1,1,80.31,8.4,1.31
3,4G/LTE,217.62,3.6849,58.34,129.7,0.0869,0.2356,341.93,0.215,1.681,689.25,5802.86,0,48497.48,1,0,49.83,14.3,19.37
1,5G,31.7,0.1744,1.58,95.03,0.0907,0.223,607.05,1.0785,2.9623,733.78,7216.36,0,49602.32,3,1,1.73,12.46,67.26
2,2G/EDGE,765.48,3.7791,28.19,582.98,0.2747,0.486,361.77,0.1554,1.771,1710.23,4676.47,1,32496.82,2,1,74.01,59.47,20.64
2,5G,43.01,0.4473,7.39,445.32,0.3331,0.3557,358.15,0.2704,1.3754,846.48,6998.74,2,7863.5,2,1,5.58,50.05,16.58
3,Wi-Fi 6/7,628.29,4.0728,37.76,42.74,0.0736,0.1759,337.22,0.2015,1.5196,1008.25,7534.53,2,40745.03,1,1,70.44,6.42,16.47
3,3G,394.33,3.0948,41.38,92.52,0.167,0.2101,249.19,0.2311,1.6658,736.04,6460.71,1,46220.79,1,0,51.84,16.65,14.79
1,Wi-Fi 6/7,43.74,0.2184,4.94,134.39,0.0824,0.2587,609.09,0.8426,2.6647,787.22,1517.02,1,41757.61,0,1,3.55,15.62,58.69
1,5G,31.07,0.4503,6.58,130.15,0.0821,0.2336,873.21,0.709,2.1137,1034.43,6860.68,2,5278.77,3,1,4.66,13.87,61.24
3,4G/LTE,771.46,2.2649,43.57,70.37,0.1951,0.2056,364.46,0.2627,1.7084,1206.29,4286.19,1,25699.17,0,1,69.67,17.41,21.75
3,Wi-Fi 6/7,414.67,3.0666,51.37,119.48,0.1217,0.1377,366.23,0.1435,1.1086,900.38,4722.41,2,8291.86,1,0,55.72,10.12,10.72
1,3G,123.36,0.541,19.79,92.86,0.1145,0.2597,541.58,1.2955,2.6342,757.8,7110.46,2,42232.27,3,1,14.41,16.26,62.94
2,4G/LTE,35.73,0.0645,6.79,971.27,0.4197,0.3243,253.77,0.2965,1.1601,1260.77,2088.85,2,25917.75,0,0,2.68,73.59,8.6
3,5G,370.87,2.418,51.74,83.32,0.1262,0.2705,399.95,0.2586,1.2414,854.14,5650.99,1,24471.76,0,0,49.36,17.36,16.45
2,4G/LTE,32.01,0.9988,8.03,851.02,0.3642,0.4903,245.65,0.1831,1.0197,1128.68,3258.47,3,17943.71,2,1,8.42,75.75,4.06
1,4G/LTE,34.82,0.0952,10.69,46.44,0.1601,0.2078,573.36,1.051,2.7595,654.62,1444.98,2,9379.08,3,1,3.93,14.32,62.04
3,5G,684.39,3.8309,24.38,51.06,0.085,0.2959,254.98,0.287,1.5273,990.43,4053.04,2,3223.48,0,1,68.46,14.99,14.0
2,4G/LTE,100.25,0.9276,7.01,837.18,0.3405,0.399,378.25,0.2808,1.0902,1315.68,7193.25,2,36064.39,2,1,11.72,67.95,13.49
3,4G/LTE,281.59,4.7932,42.83,131.2,0.1683,0.1913,208.96,0.2368,1.3695,621.75,6002.54,2,8613.51,1,0,55.81,17.01,8.43
1,3G,91.65,1.7545,23.76,49.06,0.067,0.1066,846.45,1.2343,2.7343,987.16,4420.07,2,29810.59,3,1,20.96,1.89,78.59
1,4G/LTE,46.1,0.7694,7.11,45.14,0.1016,0.2277,1079.58,1.0431,2.1589,1170.82,5133.19,1,33901.19,0,1,7.61,11.61,78.2
2,3G,250.93,1.8915,13.04,844.08,0.2429,0.4619,251.19,0.237,1.4745,1346.2,686.83,2,39772.72,2,1,28.09,65.63,12.12
3,3G,288.13,2.2959,63.53,79.61,0.1253,0.1073,232.05,0.2198,1.3202,599.79,2687.7,1,45531.23,1,0,47.13,6.96,8.54
2,5G,16.62,0.4334,5.33,1063.8,0.3589,0.3416,318.78,0.1205,1.646,1399.2,7722.39,1,2505.06,2,0,3.55,74.09,16.0
3,4G/LTE,579.5,1.9753,66.81,78.21,0.09,0.1075,368.6,0.2302,1.2384,1026.31,3964.35,1,21279.45,1,1,63.28,4.57,14.33
2,5G,15.41,0.2882,7.7,798.32,0.3377,0.4926,316.92,0.2927,1.2515,1130.65,1490.14,0,36961.62,0,1,3.36,72.15,13.06
2,4G/LTE,118.27,0.6647,10.53,487.21,0.3852,0.4677,299.92,0.1807,1.6351,905.4,5605.57,0,5706.25,2,1,12.21,62.1,15.96
2,4G/LTE,24.4,0.4722,10.08,866.43,0.3403,0.3756,362.6,0.2821,1.2521,1253.43,4463.53,2,29410.15,0,1,5.4,67.57,15.16
2,Wi-Fi 6/7,26.64,0.3663,1.24,1139.34,0.4954,0.3195,231.66,0.1377,1.6547,1397.64,4868.19,2,34173.83,2,0,2.59,84.64,12.08
2,5G,23.31,0.2009,4.09,576.46,0.4172,0.4768,377.49,0.1905,1.2053,977.26,1716.52,2,35581.68,2,1,2.0,68.15,13.57
3,4G/LTE,509.2,2.2278,59.09,132.85,0.1304,0.2306,336.54,0.1588,1.5406,978.59,3540.98,2,27900.4,1,1,58.45,17.0,15.99
1,3G,241.78,1.7165,23.36,97.2,0.163,0.2504,441.43,0.9559,2.3682,780.41,3618.65,2,34685.18,3,1,29.45,19.08,47.88
2,2G/EDGE,464.7,2.3078,29.81,1185.69,0.3834,0.3703,336.43,0.1928,1.4286,1986.82,3661.81,0,31755.19,2,1,47.95,82.08,14.91
1,4G/LTE,50.34,0.281,9.87,62.61,0.1578,0.2361,416.22,1.1262,2.807,529.17,3654.51,2,9889.92,3,1,5.72,16.54,56.24
1,Wi-Fi 6/7,10.7,0.174,3.4,77.63,0.1045,0.1105,622.41,1.3528,2.7631,710.74,2598.07,1,14443.2,3,1,1.44,5.7,69.94
2,Wi-Fi 6/7,31.98,0.3542,4.47,921.46,0.4842,0.3266,384.32,0.2709,1.1811,1337.76,5140.31,1,35560.35,0,0,3.54,76.16,14.98
3,5G,649.86,2.225,54.99,113.7,0.108,0.1833,298.51,0.2221,1.2421,1062.07,2198.38,1,37367.49,0,1,65.54,11.84,10.74
3,Wi-Fi 6/7,578.52,1.8516,43.9,63.02,0.0659,0.2415,306.6,0.1123,1.575,948.14,4389.9,0,33961.96,0,1,55.94,10.77,14.17
1,3G,229.85,0.6084,16.93,110.9,0.066,0.2135,810.06,1.3448,2.4603,1150.81,5175.27,3,30100.51,0,1,20.26,10.82,74.64
3,4G/LTE,248.7,3.2263,35.88,130.25,0.175,0.2839,218.77,0.2989,1.1148,597.72,3194.96,3,101.98,1,0,42.49,23.21,6.21
1,4G/LTE,29.14,0.9643,8.19,106.54,0.1297,0.1109,699.68,1.4853,2.6843,835.36,5007.55,0,28042.55,3,1,8.09,8.49,74.99
3,5G,241.97,4.308,26.86,81.31,0.1646,0.2565,219.48,0.1553,1.2803,542.76,3854.45,3,42827.96,1,0,46.01,18.97,6.17
1,5G,16.14,0.4795,3.58,72.69,0.0723,0.1611,867.54,1.0589,2.6665,956.37,4866.44,1,20660.46,3,1,3.33,6.53,75.5
3,2G/EDGE,1119.36,6.2336,60.3,90.01,0.0745,0.2848,206.54,0.2468,1.6899,1415.91,5914.56,0,8014.13,0,1,96.66,15.06,13.3
2,2G/EDGE,866.4,1.3008,32.98,408.45,0.3233,0.4871,344.8,0.2824,1.1741,1619.65,490.76,0,42062.55,0,1,66.44,56.23,13.11
1,2G/EDGE,818.83,3.4387,39.99,139.66,0.1333,0.2538,772.76,1.0604,1.955,1731.25,4967.54,0,33601.45,3,0,78.48,18.9,60.11
3,3G,714.05,4.0938,64.11,78.15,0.1971,0.2602,240.45,0.2339,1.415,1032.65,3191.9,0,19408.77,1,1,83.13,21.25,10.64
3,Wi-Fi 6/7,236.23,3.1766,21.76,134.33,0.1085,0.1065,365.72,0.1703,1.536,736.28,752.94,0,7121.59,1,0,37.42,7.84,17.58
2,5G,22.01,0.2932,1.39,836.01,0.4283,0.4568,226.53,0.2052,1.5433,1084.55,2302.49,2,17597.3,2,1,1.88,77.37,11.35
1,4G/LTE,116.05,0.1352,11.2,136.23,0.0951,0.2723,740.48,0.9672,1.843,992.76,6842.01,1,17658.77,3,0,9.09,17.38,55.15
1,5G,19.16,0.2257,2.97,52.29,0.0983,0.2704,634.66,1.0395,1.9378,706.11,5054.26,1,10707.93,0,0,1.63,14.33,52.58
2,4G/LTE,67.28,0.3405,5.16,713.48,0.4317,0.3466,335.71,0.2214,1.2712,1116.47,4632.71,3,3863.72,0,0,5.73,66.11,13.02
2,3G,274.2,0.4392,17.5,700.0,0.4899,0.3191,206.31,0.1839,1.473,1180.51,5826.47,1,17389.33,2,0,22.02,67.77,8.91
2,Wi-Fi 6/7,34.96,0.3475,5.39,1052.77,0.2451,0.3304,277.45,0.2604,1.6818,1365.18,4781.49,2,9679.48,2,0,3.93,65.39,16.96
2,2G/EDGE,707.11,1.9567,35.65,722.34,0.4748,0.3533,214.33,0.1404,1.3965,1643.78,5618.19,0,38082.44,2,1,61.77,69.74,7.39
3,3G,754.92,5.7435,51.87,136.48,0.149,0.2873,371.15,0.1079,1.3243,1262.55,2806.24,3,7441.1,1,1,87.48,21.92,13.56
2,3G,222.66,1.2987,9.74,555.47,0.2537,0.3507,353.98,0.2701,1.4642,1132.11,6897.92,0,32268.63,2,1,21.92,48.58,17.7
3,4G/LTE,674.04,1.4065,32.05,139.39,0.1789,0.2991,327.96,0.2012,1.0257,1141.39,3490.18,0,19778.87,1,1,55.5,24.76,8.59
2,3G,236.64,0.5531,20.6,802.25,0.3407,0.3291,246.81,0.2572,1.1192,1285.7,1898.75,1,12774.28,2,0,21.38,62.28,6.94
1,5G,9.28,0.4875,7.9,109.82,0.1304,0.1619,669.47,1.4287,2.787,788.57,5888.04,1,20941.24,3,1,4.61,11.85,74.01
2,4G/LTE,115.59,0.8462,6.87,739.56,0.3358,0.3261,344.94,0.1711,1.7284,1200.09,7517.41,0,1855.75,0,0,12.09,59.42,19.44
2,5G,58.94,0.2132,4.88,408.68,0.4274,0.3864,369.99,0.2741,1.7039,837.61,6371.51,1,9376.32,2,1,4.39,56.89,22.17
1,Wi-Fi 6/7,21.87,0.1214,5.34,62.36,0.1945,0.1024,1029.13,1.1222,2.9916,1113.36,4564.68,3,26178.74,0,1,1.79,10.62,89.58
2,3G,223.01,1.7049,9.98,389.47,0.2951,0.4931,371.53,0.2203,1.6404,984.01,1158.21,0,32212.76,0,1,24.45,54.01,20.33
3,5G,227.79,2.9812,42.82,139.94,0.1759,0.1817,355.9,0.1372,1.3763,723.63,5002.26,2,23110.93,1,0,41.77,17.25,14.1
1,5G,11.15,0.287,2.74,83.17,0.1451,0.1514,378.74,0.7067,1.9324,473.06,2003.41,3,15335.0,3,0,1.93,11.17,33.76
1,4G/LTE,58.67,0.2194,8.4,82.18,0.0697,0.1262,1096.77,0.7696,1.9414,1237.62,4398.16,1,20206.0,0,0,5.42,4.53,70.92
1,2G/EDGE,381.1,3.8893,28.74,136.58,0.1149,0.1624,551.5,1.2127,2.0592,1069.18,5306.55,0,3114.41,3,1,52.22,11.85,53.33
3,4G/LTE,210.39,3.1858,39.73,52.63,0.073,0.2334,223.44,0.2149,1.1812,486.46,4151.37,2,47216.1,1,0,41.09,10.34,5.94
3,4G/LTE,587.45,3.7108,34.64,106.45,0.0683,0.1766,353.12,0.2873,1.576,1047.02,6331.54,1,21877.23,0,1,64.97,8.5,19.64
