network_latency_ms,packet_loss_pct,network_jitter_ms,gateway_latency_ms,gateway_failure_rate_pct,gateway_timeout_rate_pct,bank_latency_ms,bank_failure_rate_pct,bank_timeout_rate_pct,error_code_category,is_timeout_flag,true_network_degradation,true_gateway_degradation,true_bank_degradation
106.48,0.9179,9.63,55.92,0.1655,0.1639,689.03,1.0042,2.6233,0,1,12.77,12.29,64.95
472.29,3.252,47.02,56.64,0.1433,0.1858,290.11,0.2596,1.6013,1,0,58.98,12.21,16.38
333.2,3.4043,72.57,133.27,0.1836,0.277,389.85,0.2758,1.4669,1,0,58.85,23.47,19.64
47.93,0.3668,2.85,41.55,0.1892,0.1856,1187.79,0.9356,2.2621,3,1,4.09,14.69,78.85
218.29,2.4,70.86,136.05,0.0942,0.1073,202.19,0.1058,1.5272,0,0,45.74,7.0,8.12
168.11,1.2958,11.3,1127.94,0.3227,0.4996,276.41,0.1365,1.646,2,1,19.14,83.95,14.16
118.1,0.633,12.52,48.56,0.0775,0.2517,533.76,1.2257,2.2381,3,1,12.57,11.64,55.36
232.24,3.3732,31.69,131.72,0.0633,0.2352,277.91,0.1661,1.2432,1,0,41.21,12.78,8.72
657.16,3.1763,35.35,56.53,0.1174,0.1223,328.79,0.2063,1.3492,0,1,66.07,6.51,13.58
274.02,3.4271,62.84,51.71,0.0972,0.1906,352.46,0.2575,1.6844,1,0,52.89,9.25,20.7
46.21,0.2061,4.98,53.57,0.1966,0.2929,482.76,0.9174,2.7791,3,1,3.63,22.34,55.42
57.43,0.0774,7.85,42.5,0.1283,0.2548,897.44,1.2208,2.6399,3,1,4.34,14.99,79.48
26.58,0.0998,2.24,1225.76,0.3064,0.3589,354.02,0.19,1.1741,0,1,1.05,77.74,11.92
57.05,0.2133,3.29,100.67,0.1896,0.2674,527.36,1.1876,2.7847,3,1,3.83,22.04,62.56
554.94,4.1747,43.0,125.03,0.0953,0.1566,203.69,0.1414,1.2656,1,1,68.23,9.75,4.91
359.47,2.2507,27.57,41.52,0.0796,0.1545,357.97,0.2503,1.581,1,0,40.78,5.44,19.3
30.02,0.0636,2.94,102.11,0.0569,0.2769,375.43,1.247,2.3471,0,1,1.24,13.85,49.46
494.73,1.3657,21.9,103.45,0.1819,0.2555,217.19,0.2564,1.7224,1,0,41.81,20.89,14.49
489.24,1.1458,32.92,46.57,0.1487,0.1688,394.13,0.1206,1.7155,0,0,43.31,11.13,20.81
689.11,3.5839,57.48,41.53,0.1965,0.1488,265.14,0.229,1.6555,1,1,76.71,12.87,15.39
29.73,0.1969,3.65,578.92,0.2277,0.4195,357.59,0.2939,1.0722,2,1,2.23,52.02,12.42
38.75,0.121,3.1,78.43,0.1778,0.2543,991.01,1.2227,2.9646,3,1,2.14,19.6,89.07
39.34,0.0996,2.81,1085.68,0.2269,0.3546,268.73,0.1027,1.3341,2,1,1.97,66.92,8.5
41.02,0.2413,4.75,243.11,0.2377,0.4444,351.87,0.1079,1.2671,0,1,3.47,41.65,11.74
49.19,0.057,6.7,1232.83,0.3079,0.4883,266.05,0.2319,1.6549,2,1,3.4,86.19,15.48
34.04,0.1415,6.69,467.18,0.2565,0.3742,338.8,0.2919,1.1684,2,1,3.01,46.92,12.89
33.86,0.5987,11.05,377.66,0.2028,0.4964,242.25,0.2629,1.625,2,1,6.99,47.62,14.4
33.92,0.0229,5.98,49.9,0.1524,0.1506,749.33,0.9004,2.2013,3,1,2.09,10.36,59.78
48.25,0.454,3.45,52.79,0.1648,0.1,531.71,1.4785,2.0714,3,1,4.8,8.13,57.27
347.54,3.6216,28.63,81.09,0.1442,0.2255,274.08,0.1176,1.5128,0,0,48.61,15.66,11.71
650.61,2.2475,26.97,136.44,0.0846,0.2855,280.64,0.2976,1.1985,1,1,57.71,17.52,10.54
644.75,4.2489,74.27,74.19,0.192,0.1522,354.85,0.2111,1.6192,0,1,82.24,14.01,19.01
250.9,1.2342,20.97,1024.08,0.4233,0.3753,343.24,0.1219,1.1301,2,1,26.41,79.0,9.5
706.92,1.9072,55.86,91.51,0.1476,0.2133,346.26,0.1411,1.7805,1,1,67.24,15.52,19.75
524.86,3.2591,48.85,61.03,0.1222,0.1671,319.02,0.1997,1.1601,1,1,62.64,9.8,10.13
730.89,2.4882,84.15,49.54,0.0661,0.1719,305.96,0.2505,1.5289,1,1,76.75,5.92,15.92
89.26,0.4796,4.54,128.02,0.1143,0.1148,687.91,1.3403,2.6037,3,1,7.68,8.51,70.6
32.16,0.1495,4.24,52.29,0.1833,0.2006,846.83,0.7574,2.6191,3,1,2.25,15.64,68.37
671.91,1.2311,16.21,414.82,0.2052,0.3589,337.1,0.252,1.6433,2,1,49.79,40.58,19.22
8.04,0.2737,1.49,133.4,0.165,0.2316,1155.09,1.2712,2.9096,3,1,1.64,19.39,94.56
25.09,0.2997,5.47,678.82,0.2342,0.3984,239.38,0.1395,1.4184,2,1,3.09,54.89,8.95
183.91,3.43,29.28,101.8,0.1625,0.1881,335.07,0.2933,1.7626,0,0,38.02,15.32,21.64
25.81,0.2083,12.27,132.07,0.0753,0.2139,616.76,1.2887,1.8529,3,0,4.53,12.26,54.86
23.24,0.3678,2.14,138.59,0.1705,0.1578,840.62,0.7477,2.2001,3,1,2.44,15.34,61.6
41.33,0.3513,4.01,848.0,0.291,0.432,211.0,0.116,1.0456,2,1,3.94,67.12,1.52
9.59,0.4304,4.18,388.41,0.2477,0.3555,354.53,0.1616,1.0659,2,1,3.21,42.21,9.81
56.18,0.3458,11.81,981.82,0.3157,0.3941,350.57,0.1108,1.5605,0,1,7.01,71.41,16.13
45.25,0.4078,6.48,108.22,0.1159,0.2967,614.47,1.2548,2.9097,0,1,5.21,19.25,69.99
752.59,2.4639,45.05,65.96,0.1285,0.2301,348.21,0.1277,1.2006,1,1,70.18,14.34,10.91
457.3,2.6065,48.1,85.46,0.1936,0.193,213.09,0.2534,1.0188,1,0,54.53,17.09,3.68
23.42,0.0782,6.56,102.01,0.13,0.2788,649.46,0.8988,2.6927,0,1,1.97,18.83,62.13
228.02,1.5013,31.31,114.42,0.1579,0.1888,275.13,0.1785,1.6415,0,0,29.62,15.53,14.78
745.76,2.5637,39.67,101.21,0.1518,0.1109,208.1,0.1516,1.1724,1,1,68.84,9.76,3.91
36.48,0.2487,10.88,91.08,0.0847,0.1806,1025.72,1.0104,2.8967,3,1,5.0,9.27,85.99
418.32,1.5849,22.86,95.66,0.1402,0.1281,304.79,0.1188,1.6303,1,0,38.9,9.86,15.03
504.03,2.6645,31.03,76.26,0.1048,0.194,308.84,0.1957,1.1214,1,1,52.75,10.89,8.97
5.79,0.1717,5.65,477.03,0.3465,0.4072,212.74,0.2732,1.3654,2,1,2.07,55.36,9.21
12.24,0.4617,4.15,77.19,0.1192,0.2669,980.31,0.8182,2.6947,3,1,3.38,16.44,77.26
537.97,3.8486,21.31,44.37,0.1071,0.232,240.58,0.2134,1.1114,1,1,59.08,12.22,5.72
305.02,2.3286,43.58,93.12,0.1987,0.2258,306.28,0.1077,1.44,1,0,42.62,19.77,12.05
6.77,0.0547,4.63,256.83,0.4427,0.402,221.16,0.1385,1.5296,0,1,1.08,53.19,9.69
119.87,1.2614,18.83,113.94,0.0772,0.2918,894.46,1.0314,2.9726,3,1,18.25,16.57,80.94
29.88,0.1778,2.19,722.71,0.4599,0.323,351.08,0.2646,1.2209,2,0,1.7,66.87,13.81
12.25,0.0273,3.77,137.94,0.0666,0.1203,916.29,0.86,2.3521,3,1,0.67,6.05,69.67
608.06,3.43,39.21,477.04,0.3684,0.3975,374.74,0.1408,1.3469,2,1,65.8,56.21,14.67
15.57,0.2282,5.6,1034.21,0.2598,0.3493,364.66,0.1297,1.2089,2,0,2.4,66.85,11.9
32.75,0.3206,3.41,51.73,0.0688,0.2371,696.08,0.7514,2.4984,3,1,3.08,10.26,58.91
1084.05,3.5388,69.79,99.72,0.0594,0.143,246.86,0.2607,1.391,1,1,90.6,5.55,11.08
717.92,3.0275,16.75,927.8,0.3644,0.3918,252.73,0.2231,1.6618,2,1,63.43,72.49,14.76
265.99,2.9303,60.74,102.75,0.1418,0.2349,227.78,0.1187,1.2979,0,0,48.83,16.9,6.19
36.04,0.4294,7.26,104.87,0.1588,0.2098,988.95,1.0333,2.1773,3,1,5.02,16.55,73.77
717.54,6.0002,53.25,101.51,0.1669,0.2256,202.78,0.2339,1.3889,1,1,85.67,17.95,8.36
20.32,0.1317,5.53,98.51,0.0822,0.2778,1025.92,1.0124,2.4289,3,1,1.82,15.45,79.02
29.41,0.2157,1.71,40.08,0.1715,0.1175,719.13,1.2322,1.8944,3,0,1.85,9.2,59.59
41.85,0.818,6.24,511.26,0.4282,0.4887,296.8,0.1242,1.4958,2,1,7.4,67.18,12.71
690.78,2.9151,58.85,90.42,0.1956,0.2843,349.6,0.2918,1.1062,1,1,73.19,23.12,12.5
45.49,0.1164,2.58,814.73,0.4501,0.3816,230.23,0.2464,1.0446,0,1,2.36,73.33,4.79
63.27,0.4598,3.43,85.32,0.122,0.2332,778.51,1.0278,2.4858,3,1,5.71,14.82,67.78
83.34,0.6785,3.02,48.9,0.0553,0.2729,685.71,1.3794,1.817,0,0,8.09,11.49,59.39
678.9,3.9201,34.28,65.44,0.0608,0.2233,624.2,0.9394,2.2128,3,1,71.5,9.38,54.39
832.79,3.4901,77.83,63.04,0.1314,0.2195,277.46,0.1534,1.0492,1,1,88.75,13.76,5.56
38.32,0.0727,7.98,117.28,0.1816,0.1829,615.03,1.2516,2.8836,0,1,3.22,16.85,69.57
1288.94,4.7067,41.0,75.68,0.0728,0.159,296.8,0.1708,1.6114,1,1,89.38,6.55,15.28
274.2,0.4392,17.5,700.0,0.4899,0.3191,206.31,0.1839,1.473,2,0,22.02,67.77,8.91
111.85,0.9089,4.88,76.66,0.1429,0.1319,737.45,0.7969,1.9025,3,0,11.68,9.56,52.85
55.32,0.0306,6.56,768.96,0.4545,0.3091,284.11,0.1879,1.4306,2,0,3.56,67.37,12.23
624.47,1.2882,36.23,119.46,0.0977,0.2047,213.66,0.2472,1.0842,1,1,53.07,12.7,4.57
581.22,2.8185,37.65,58.14,0.1763,0.2496,300.81,0.1701,1.4718,0,1,60.11,18.45,13.37
41.47,0.2684,2.88,450.02,0.4881,0.4588,237.43,0.1024,1.5353,2,1,3.12,67.01,9.94
31.76,0.0725,2.95,805.13,0.2617,0.4822,349.88,0.1078,1.3926,2,1,1.4,66.69,13.52
255.67,1.8352,13.22,478.13,0.4305,0.3424,283.23,0.242,1.2706,2,0,28.08,56.95,10.76
347.31,4.9304,64.58,50.02,0.108,0.1015,290.45,0.2376,1.2904,0,0,66.72,4.34,11.34
35.69,0.3969,3.63,315.99,0.2714,0.3949,303.64,0.2869,1.0725,2,1,3.77,43.54,9.61
414.06,2.481,34.25,70.27,0.0797,0.2501,396.37,0.1794,1.2666,1,0,47.28,12.5,15.24
513.94,3.3948,49.16,83.23,0.1733,0.2437,214.42,0.2843,1.4341,1,1,62.9,18.82,10.52
285.06,1.8773,40.7,98.86,0.098,0.1964,315.42,0.1555,1.0454,0,0,37.91,11.43,7.44
543.04,1.6255,28.4,72.9,0.1477,0.2296,237.35,0.2785,1.4113,1,1,48.06,15.85,11.22
22.4,0.3474,12.84,95.39,0.1176,0.1571,874.88,1.4738,2.3264,3,1,5.32,10.15,78.17
5.2,0.1668,3.95,62.97,0.0799,0.1076,501.08,0.8848,2.7623,3,1,1.56,3.33,55.5
44.73,0.0373,3.1,98.3,0.0721,0.2531,613.31,0.8733,2.7926,3,1,1.99,13.23,61.36
669.46,2.7352,46.52,74.39,0.1138,0.2604,301.34,0.2669,1.1541,1,1,67.33,15.57,10.36
102.47,0.432,4.23,46.15,0.0577,0.176,906.43,0.7407,2.0653,3,1,8.08,5.49,62.74
119.48,0.3373,5.86,96.79,0.1753,0.1385,973.41,0.7649,2.8971,3,1,8.98,12.89,79.0
114.05,0.7979,11.83,128.84,0.1655,0.1573,682.48,0.8304,1.9908,0,0,13.13,14.61,52.03
160.97,2.4552,22.84,131.17,0.1991,0.176,356.36,0.279,1.6764,1,0,28.98,18.11,21.16
52.94,0.1154,7.02,852.8,0.4483,0.3903,235.66,0.2835,1.7747,2,1,4.06,75.18,16.68
10.35,0.3599,5.02,1028.46,0.3459,0.3948,325.85,0.1969,1.2844,0,1,3.02,75.22,12.29
11.29,0.1403,7.98,605.12,0.2631,0.3736,239.96,0.1076,1.3332,2,1,2.55,52.5,7.13
61.3,0.9828,7.1,926.44,0.3484,0.3087,309.77,0.2698,1.3173,2,0,9.78,66.18,13.28
545.76,3.4457,43.9,132.8,0.1098,0.2689,386.67,0.2582,1.585,1,1,63.57,18.02,20.93
232.37,1.67,32.37,129.54,0.0777,0.2568,221.88,0.2626,1.0555,0,0,31.19,15.0,4.83
35.29,0.0677,6.87,311.04,0.3574,0.3555,285.46,0.1198,1.1594,2,1,2.7,46.63,7.02
45.74,0.3664,5.59,784.08,0.272,0.3797,286.68,0.2466,1.4848,2,1,4.74,60.18,14.22
56.58,0.3989,7.15,60.31,0.0979,0.163,578.88,0.742,2.7305,3,1,6.02,7.89,56.37
51.57,0.169,10.87,43.98,0.1397,0.2739,817.4,0.7616,2.6049,3,1,5.41,17.0,66.76
243.68,1.5848,63.27,124.81,0.1918,0.2726,373.71,0.147,1.6286,1,0,40.17,23.42,18.95
10.38,0.1657,2.12,62.16,0.0678,0.2299,1110.83,0.8165,2.1838,3,1,1.03,10.14,75.55
136.2,1.1376,9.08,321.11,0.2481,0.3748,220.29,0.2794,1.3983,2,1,15.68,40.92,10.19
33.52,0.1481,1.08,88.49,0.081,0.2296,504.8,1.304,2.5026,3,1,1.68,11.99,59.28
293.08,1.6216,20.34,135.79,0.1111,0.2437,526.58,0.801,2.3103,0,1,31.03,16.65,48.5
904.8,4.0689,73.58,99.28,0.0672,0.2078,343.61,0.112,1.6269,0,1,94.41,10.11,16.8
116.22,1.2228,14.92,1122.22,0.4705,0.4283,372.79,0.2982,1.3771,2,1,16.69,89.14,17.84
51.17,0.6987,9.28,507.96,0.3892,0.3666,343.47,0.1474,1.2941,2,1,8.11,56.82,12.43
441.38,3.0025,72.88,72.44,0.0788,0.2104,390.44,0.2558,1.3489,1,0,62.8,10.04,17.54
767.5,1.5999,27.15,138.49,0.0901,0.1109,265.72,0.1362,1.3615,1,1,60.76,7.05,9.35
5.43,0.3869,2.71,139.04,0.0879,0.1943,888.3,1.2971,2.9906,3,1,2.52,12.13,85.65
56.53,0.723,5.59,316.52,0.4211,0.3536,291.99,0.1821,1.2026,2,1,7.51,50.96,9.1
76.36,0.9101,6.83,295.26,0.4539,0.3059,383.99,0.1544,1.4787,2,0,10.16,49.37,17.35
16.59,0.2858,2.4,68.5,0.0853,0.229,672.13,0.7073,2.6166,0,1,1.83,11.48,58.7
311.04,3.0878,22.55,53.32,0.1371,0.1946,341.67,0.1743,1.1905,1,0,41.52,12.22,11.27
16.14,0.3247,2.0,628.99,0.2517,0.4457,318.16,0.1693,1.5645,0,1,1.95,57.14,15.61
517.07,1.2599,22.27,959.34,0.4065,0.349,288.15,0.192,1.4279,2,0,42.59,73.8,12.47
109.48,0.5639,4.1,899.8,0.4721,0.3255,216.61,0.125,1.6961,2,0,9.25,74.48,11.72
688.47,2.5642,28.07,51.81,0.1385,0.211,282.74,0.2211,1.0784,0,1,62.16,13.28,7.48
29.76,0.5712,10.08,892.57,0.2574,0.4499,240.8,0.2658,1.7251,0,1,6.31,67.67,15.88
27.91,0.0475,4.5,590.49,0.4824,0.3273,213.68,0.2562,1.3211,2,0,1.46,63.68,8.29
626.03,3.4486,23.6,64.52,0.1298,0.1239,316.9,0.1531,1.5129,0,1,62.51,7.73,14.49
763.24,5.5565,47.29,98.52,0.1577,0.2179,383.38,0.1468,1.4989,0,1,86.66,16.74,17.49
691.11,1.5486,50.68,59.12,0.056,0.1343,344.84,0.1987,1.2326,1,1,62.68,3.26,12.49
9.93,0.4394,3.24,861.84,0.2737,0.3245,339.34,0.2843,1.7277,0,0,2.99,59.76,21.17
32.58,0.438,1.59,108.15,0.152,0.2338,636.3,1.0769,2.2775,3,1,3.37,17.72,58.42
430.92,4.7865,77.43,50.29,0.174,0.1523,307.66,0.2186,1.716,0,0,72.89,11.92,18.24
5.4,0.1352,5.73,795.14,0.4299,0.3729,318.1,0.1166,1.4381,2,1,1.88,70.7,12.77
502.51,2.5777,57.59,90.87,0.1113,0.2576,298.8,0.1611,1.3891,1,1,59.73,15.84,11.87
50.34,0.281,9.87,62.61,0.1578,0.2361,416.22,1.1262,2.807,3,1,5.72,16.54,56.24
135.54,1.8879,43.28,121.2,0.158,0.2277,359.78,0.2024,1.5324,1,0,29.92,18.23,17.8
32.47,0.3356,4.55,51.25,0.1604,0.155,1053.19,0.9108,2.135,3,1,3.48,11.22,74.16
77.93,0.2116,5.57,1220.28,0.4949,0.3914,390.06,0.1731,1.4861,2,1,5.7,92.13,18.1
40.5,0.2799,4.28,50.61,0.1851,0.2762,941.18,1.0581,2.9615,3,1,3.54,20.42,83.59
58.45,0.4249,4.11,106.46,0.1676,0.1049,1137.85,1.366,1.9275,3,0,5.41,10.64,81.52
265.04,2.7324,45.38,73.18,0.1381,0.2625,342.01,0.1588,1.7988,1,0,43.2,17.27,20.13
233.89,1.6969,9.09,50.54,0.0635,0.1094,917.34,1.1045,2.781,3,1,24.79,1.88,80.52
23.43,0.2105,4.48,92.06,0.0784,0.1634,727.36,0.7948,2.5567,3,1,2.17,7.81,62.13
58.08,0.2868,5.31,533.7,0.2501,0.3428,212.22,0.1338,1.2074,2,0,4.91,47.03,4.33
861.46,5.1104,31.82,50.65,0.152,0.1298,225.59,0.1369,1.2393,1,1,88.02,9.06,5.53
9.09,0.2568,2.28,97.4,0.1456,0.2113,945.99,1.0462,2.381,3,1,1.62,15.48,74.91
70.38,0.4333,7.13,776.87,0.2803,0.3762,397.62,0.235,1.5753,2,1,7.03,60.25,20.92
278.39,3.8933,35.98,108.06,0.165,0.1916,285.08,0.2099,1.2346,1,0,48.27,15.94,9.74
49.35,0.3498,4.16,1217.84,0.3932,0.3557,373.11,0.1547,1.2083,0,1,4.44,83.03,12.76
28.43,0.268,2.79,78.82,0.0929,0.2411,618.33,1.3831,2.6859,3,1,2.33,13.13,69.12
294.46,1.651,23.1,90.07,0.1531,0.1647,204.74,0.1134,1.1249,1,0,32.08,12.79,2.35
114.07,0.9534,3.67,929.46,0.2175,0.4549,332.65,0.2901,1.728,2,1,11.73,66.7,20.95
179.31,3.9353,51.65,134.55,0.1181,0.2177,313.75,0.1048,1.1709,0,0,47.17,15.44,8.34
84.79,0.5262,9.31,578.53,0.3655,0.3108,276.78,0.2337,1.7508,2,0,9.06,54.4,17.49
7.17,0.3673,3.33,136.42,0.1308,0.147,1064.97,0.8385,2.6097,3,1,2.58,11.94,80.58
781.06,3.9576,61.37,48.19,0.074,0.12,299.5,0.2517,1.2394,1,1,85.48,3.16,11.27
187.43,1.3915,13.64,113.98,0.1558,0.1842,535.95,0.7657,2.7379,3,1,21.52,15.09,54.75
53.67,0.3582,2.32,1013.98,0.3538,0.4022,361.56,0.1245,1.1227,2,1,4.22,75.67,10.36
118.32,0.367,6.34,704.05,0.2669,0.3008,239.83,0.2638,1.7522,2,0,9.23,51.91,16.2
55.38,0.3556,6.25,943.16,0.4834,0.4985,295.73,0.1271,1.547,2,1,5.43,87.67,13.48
72.61,0.6921,11.72,75.67,0.1357,0.282,617.68,1.2413,2.2976,0,1,10.02,18.43,60.73
653.25,4.4871,73.92,119.23,0.1472,0.2542,391.87,0.243,1.5919,1,1,84.17,19.09,21.03
335.69,1.0488,34.86,92.11,0.1634,0.1612,356.42,0.1116,1.1829,1,0,34.25,13.34,10.77
14.12,0.3252,2.84,138.57,0.1052,0.1703,1164.6,1.2658,2.7055,3,1,2.19,11.77,91.4
737.55,3.7566,31.67,97.3,0.1154,0.1036,384.63,0.2538,1.7181,1,1,73.23,6.73,22.75
29.48,0.181,5.05,64.36,0.179,0.2078,1068.74,1.2503,2.542,3,1,2.52,16.25,87.11
833.19,1.6807,38.23,111.74,0.1644,0.1403,569.13,0.9443,2.1858,0,1,68.27,12.84,51.32
141.32,0.57,11.33,137.3,0.073,0.1539,621.95,1.335,2.7422,3,1,13.22,8.55,69.28
403.83,2.7234,29.74,95.83,0.1707,0.1671,384.15,0.1552,1.4011,1,0,46.84,14.33,16.21
64.38,0.6126,4.48,55.68,0.1685,0.1547,917.14,1.4906,2.2484,3,1,6.99,11.91,79.42
258.51,3.7987,26.29,55.37,0.1277,0.1426,306.98,0.2416,1.5178,1,0,43.76,8.42,15.64
42.43,0.2967,10.33,44.08,0.1954,0.2837,736.21,1.4058,2.6263,3,1,5.48,21.33,74.52
25.33,0.1483,3.0,51.51,0.1825,0.183,754.03,1.2186,1.8737,3,0,1.49,14.45,60.78
461.68,3.6338,36.92,97.23,0.1144,0.1107,344.07,0.1403,1.4876,1,0,57.76,7.11,15.24
836.7,2.093,66.51,99.26,0.1657,0.2297,247.67,0.1186,1.3908,1,1,79.03,18.04,8.58
107.6,0.6635,10.77,916.41,0.4733,0.3078,326.36,0.2499,1.7631,2,0,11.64,74.07,20.44
27.26,0.1204,2.8,87.95,0.1051,0.2828,663.59,1.3693,2.5809,3,1,1.38,16.9,69.56
45.89,0.2984,1.53,83.81,0.0697,0.2975,897.05,1.4365,2.7067,3,1,3.31,15.3,84.32
846.07,7.0069,74.77,114.76,0.1254,0.1936,276.75,0.1071,1.6749,1,1,98.59,13.68,14.09
660.64,2.8728,46.45,85.25,0.0823,0.1566,310.54,0.2484,1.1126,1,1,67.62,7.39,9.87
89.21,0.2229,3.03,794.83,0.2422,0.3429,359.67,0.2153,1.0235,2,0,5.7,56.3,10.39
25.77,0.4215,5.81,61.96,0.194,0.2233,729.95,1.1327,2.6357,3,1,3.96,18.13,69.47
774.86,3.4331,76.58,61.94,0.1239,0.2927,266.72,0.1334,1.3258,0,1,85.0,17.79,8.82
26.33,0.1751,13.3,103.38,0.088,0.2111,666.26,1.3915,2.1712,3,1,4.65,11.85,63.94
250.86,1.8376,10.07,653.65,0.3237,0.3599,312.59,0.132,1.5738,2,1,26.91,57.5,14.81
66.06,0.5586,4.5,921.01,0.4126,0.4727,340.42,0.1701,1.1915,2,1,6.78,80.5,11.15
289.9,3.7212,39.37,118.91,0.1186,0.2222,394.79,0.1033,1.0573,0,0,48.88,15.17,10.66
33.15,0.335,3.51,500.1,0.3847,0.4288,289.46,0.1898,1.4652,2,1,3.21,60.12,13.05
55.01,0.2525,6.46,97.76,0.1144,0.1387,952.03,0.92,2.3951,3,1,4.85,8.88,73.17
28.48,0.0649,2.1,88.19,0.0564,0.1925,738.82,1.486,2.0169,3,1,0.92,8.02,66.94
818.44,2.9201,47.65,82.06,0.1262,0.2096,343.17,0.1249,1.7947,0,1,77.53,13.51,19.52
24.27,0.2172,1.79,711.82,0.3702,0.4596,292.88,0.195,1.1292,2,1,1.55,69.01,8.28
123.26,0.5316,12.46,960.0,0.4256,0.3327,224.9,0.1175,1.5854,0,0,12.25,74.08,10.34
119.43,0.8169,13.98,794.79,0.2923,0.4611,328.81,0.2238,1.6381,2,1,14.17,67.03,18.22
7.07,0.1899,4.8,54.81,0.1619,0.1017,822.64,1.4333,2.6466,3,1,1.94,8.12,79.64
42.0,0.228,2.75,309.28,0.2959,0.3844,235.38,0.1938,1.565,2,1,2.88,44.27,11.92
30.7,0.0819,3.14,1173.04,0.4121,0.3302,248.11,0.136,1.5048,2,0,1.45,81.02,10.62
717.14,2.254,29.14,104.91,0.1025,0.2834,510.5,1.4397,1.935,0,0,62.29,17.4,53.47
214.95,4.4496,37.6,132.41,0.1178,0.1971,308.01,0.1187,1.5319,1,0,48.34,14.05,13.71
595.75,3.8183,43.18,104.79,0.1545,0.1315,260.75,0.2788,1.1919,1,1,68.54,11.37,9.11
28.81,0.3567,7.75,489.46,0.2383,0.3953,289.19,0.2096,1.0256,0,1,4.3,47.86,6.8
38.49,0.9711,12.3,133.95,0.1842,0.2196,584.77,0.7362,2.1904,3,1,9.86,19.94,48.46
47.05,0.3529,4.3,62.11,0.0574,0.1199,984.49,1.0484,2.4296,3,1,4.37,2.57,77.6
17.68,0.3372,5.68,286.08,0.4208,0.4058,279.43,0.2534,1.213,2,1,3.07,53.06,9.91
