gateway_latency_ms,bank_latency_ms,total_latency_ms,packet_loss_pct,payment_stage,error_code_category,is_timeout_flag,order_amount_inr,retry_count,action_label
166.77,129.73,296.5,11.91,1,1,0,10390.17,0,1
1365.48,207.68,1573.16,0.64,1,0,0,14011.82,0,0
24.06,375.62,399.68,0.31,0,0,0,6093.68,0,0
148.46,69.72,218.17,1.85,2,1,0,6295.04,0,1
533.16,103.65,636.82,0.17,2,0,0,9714.04,0,0
45.34,515.08,560.43,1.02,2,3,0,8244.56,0,0
387.02,398.85,785.86,5.27,1,0,0,11961.42,0,1
511.67,161.16,672.83,9.54,1,2,1,13237.46,0,2
195.99,855.97,1051.96,4.66,2,0,0,7460.77,0,0
288.2,667.08,955.28,8.77,2,0,0,11769.08,3,1
201.0,691.69,892.69,3.41,2,0,0,14882.17,0,0
614.53,3034.96,3649.48,0.25,1,1,0,14370.72,2,1
457.75,769.21,1226.96,9.12,2,2,1,4011.4,0,2
260.62,1853.2,2113.82,6.69,2,0,0,14182.32,3,1
348.66,1423.31,1771.97,3.02,1,0,0,2987.46,2,1
219.56,155.05,374.61,3.28,1,0,0,9213.67,0,0
429.68,603.79,1033.47,1.32,0,1,0,8032.17,0,1
34.72,1728.13,1762.85,4.3,1,1,0,1781.59,0,1
39.92,729.43,769.35,14.25,1,1,0,2119.2,0,1
696.63,1101.06,1797.68,4.46,2,2,1,4513.03,2,2
101.78,600.21,702.0,1.79,0,2,1,3310.4,1,2
137.97,2189.24,2327.21,4.06,1,0,0,9969.34,2,1
47.01,2350.48,2397.5,0.36,1,0,0,14231.53,0,0
77.51,1336.28,1413.78,0.71,2,2,1,12470.02,0,2
2853.98,434.15,3288.13,4.45,1,1,0,11910.67,0,1
1431.65,1671.98,3103.63,5.07,2,1,0,7429.73,2,1
346.52,388.17,734.69,1.38,2,1,0,9475.37,1,1
1212.02,427.76,1639.79,4.61,2,0,0,10940.93,0,0
130.64,1495.0,1625.64,0.32,1,0,0,9143.9,2,1
185.15,164.98,350.12,0.35,1,2,1,14799.89,0,2
440.69,351.21,791.9,4.48,1,0,0,10880.67,2,1
153.18,1273.83,1427.01,0.4,2,0,0,12405.73,2,1
84.15,571.53,655.68,1.16,1,2,1,7182.85,1,2
738.0,326.43,1064.43,4.69,2,0,0,10827.95,0,0
41.98,924.36,966.33,1.58,1,1,0,11554.59,0,1
542.95,108.59,651.54,2.86,1,2,1,13504.23,0,2
962.54,496.03,1458.57,0.49,2,3,0,13555.45,0,0
285.24,205.98,491.22,0.57,1,2,1,1656.76,0,2
756.8,1682.38,2439.18,2.25,2,0,0,6260.64,2,1
743.86,474.07,1217.92,0.4,0,1,0,1168.86,0,1
169.57,863.17,1032.74,1.1,3,0,0,5405.4,0,0
88.78,210.66,299.44,2.06,1,0,0,8529.63,0,0
385.02,83.67,468.69,6.12,0,3,0,1578.64,0,0
1495.26,390.85,1886.11,0.0,1,3,0,1435.82,1,0
160.21,87.82,248.02,0.56,1,0,0,10695.72,3,1
715.12,1461.32,2176.45,0.14,2,0,0,2474.98,2,1
829.95,890.05,1720.0,1.1,2,1,0,5194.82,0,1
137.7,400.76,538.46,1.39,2,2,1,13682.5,3,2
1091.21,3132.44,4223.65,10.52,1,2,1,2980.75,1,2
121.9,1524.38,1646.28,4.64,1,0,0,6342.1,2,1
534.23,159.0,693.23,1.69,1,2,1,6964.61,0,2
275.35,1348.27,1623.61,0.21,1,0,0,13692.59,0,0
84.08,4135.7,4219.78,3.01,1,0,1,14162.12,1,2
1197.16,1849.59,3046.75,1.66,3,3,0,2835.34,0,0
1073.4,2397.17,3470.57,5.0,1,0,1,13098.68,0,2
57.03,1082.61,1139.63,7.72,2,0,0,12717.1,0,1
759.36,453.64,1213.0,0.8,2,0,0,6055.82,0,0
781.4,653.59,1434.98,6.0,2,0,0,13870.85,0,1
995.76,938.45,1934.21,6.45,3,2,1,3490.25,0,2
91.37,443.79,535.16,3.17,2,0,0,4741.53,1,0
203.67,137.37,341.04,3.46,1,0,0,389.08,0,0
707.39,73.35,780.74,5.85,0,0,0,4719.51,0,1
1867.7,1221.24,3088.94,0.65,1,0,1,14775.44,1,2
1069.4,222.52,1291.92,0.75,1,0,0,6626.7,0,0
440.01,114.63,554.64,1.01,1,1,0,4244.34,0,1
1218.49,1715.62,2934.11,2.13,3,0,1,924.45,1,2
226.95,4172.09,4399.03,5.5,0,0,1,12053.88,0,2
3472.37,810.24,4282.61,6.21,2,1,0,413.45,0,1
142.75,450.66,593.41,0.39,1,0,0,8355.47,1,0
1166.74,1782.77,2949.52,2.77,0,0,1,14125.06,0,2
379.83,71.09,450.92,0.32,1,3,0,588.72,0,0
270.67,258.55,529.22,0.8,1,1,0,3918.76,0,1
74.07,99.89,173.96,4.55,3,1,0,8111.61,1,1
1062.2,1411.61,2473.81,2.92,2,0,0,12557.58,1,0
57.21,690.5,747.71,0.09,0,0,0,14262.5,0,0
1331.61,148.33,1479.94,1.32,3,0,0,7964.4,0,0
1990.81,904.21,2895.01,4.94,1,2,1,8207.48,0,2
883.76,1207.69,2091.45,0.64,3,2,1,3424.04,0,2
883.01,2815.55,3698.56,3.5,1,1,0,12060.19,0,1
155.83,676.9,832.73,3.6,1,0,0,6576.7,0,0
1681.65,259.83,1941.48,0.77,0,3,0,13185.96,1,0
820.31,494.78,1315.09,1.12,1,0,0,14523.53,0,0
645.98,1885.66,2531.63,0.73,2,2,1,7280.31,2,2
336.17,657.94,994.11,2.16,2,1,0,3196.58,1,1
556.87,1443.58,2000.45,3.95,3,0,0,2982.36,1,0
94.22,53.99,148.21,0.55,3,3,0,14258.15,0,0
670.92,49.52,720.44,1.75,1,3,0,340.26,0,0
1165.13,1712.68,2877.81,2.71,2,0,1,3236.87,0,2
88.24,1380.56,1468.79,0.4,1,0,0,641.48,0,0
685.97,293.16,979.13,2.34,2,3,0,767.05,0,0
214.49,67.41,281.91,0.57,1,1,0,1340.54,0,1
430.66,787.78,1218.44,3.09,0,2,1,7603.19,0,2
2616.8,3044.48,5661.28,0.15,1,0,1,1372.59,2,2
40.92,3286.9,3327.82,2.08,1,3,0,6275.0,0,0
1380.56,3644.82,5025.37,11.82,1,1,0,3541.59,0,1
571.64,1142.18,1713.81,2.5,0,3,0,8645.03,1,0
2659.96,2736.13,5396.09,14.49,3,0,1,5225.3,0,2
651.05,695.53,1346.58,2.59,2,0,0,7100.08,0,0
2785.93,688.04,3473.96,0.26,3,0,1,5105.6,0,2
81.07,2311.99,2393.06,2.95,1,0,0,467.99,3,1
443.5,699.11,1142.61,4.66,2,2,1,7667.67,0,2
289.39,570.71,860.11,0.62,1,0,0,4617.97,0,0
2154.24,205.16,2359.4,6.29,2,0,0,10422.74,0,1
1568.67,1212.92,2781.59,0.2,0,1,0,13521.33,1,1
236.97,118.36,355.32,0.6,3,2,1,1729.4,0,2
913.06,61.45,974.5,1.43,1,2,1,11452.82,1,2
402.03,392.32,794.35,2.77,1,2,1,7297.69,3,2
180.54,790.19,970.73,3.59,2,0,0,6878.86,0,0
162.85,489.42,652.26,0.89,1,0,0,6521.65,0,0
1162.66,544.84,1707.5,14.84,1,1,0,4609.34,0,1
1090.03,2815.73,3905.76,0.37,1,0,1,1933.48,0,2
1543.78,1136.24,2680.02,1.45,0,2,1,5128.41,0,2
973.34,353.4,1326.75,1.67,3,1,0,12558.17,1,1
1510.35,1222.14,2732.49,8.43,1,1,0,8025.8,1,1
784.07,934.39,1718.46,9.01,1,0,0,8181.56,0,1
1819.63,1727.06,3546.7,3.18,1,0,1,3233.12,0,2
689.64,49.33,738.97,4.07,0,0,0,12286.77,0,0
57.09,479.29,536.38,2.83,3,2,1,14702.08,0,2
190.84,364.46,555.3,1.82,0,1,0,13819.27,0,1
55.31,563.02,618.33,4.61,0,2,1,2986.38,0,2
1007.67,266.36,1274.04,0.39,2,0,0,2958.91,0,0
903.65,506.58,1410.22,1.24,2,0,0,4709.59,0,0
1402.94,300.41,1703.35,0.83,1,1,0,7288.11,1,1
135.48,47.09,182.57,3.17,3,1,0,4611.24,0,1
501.47,293.99,795.46,2.36,2,2,1,1380.06,0,2
90.28,3277.67,3367.96,0.26,3,0,1,11642.32,3,2
1656.8,1535.19,3192.0,5.53,1,1,0,1272.6,0,1
465.65,1132.38,1598.03,3.95,2,3,0,11822.17,0,0
1540.8,1578.28,3119.09,3.42,2,1,0,6701.3,0,1
793.2,360.75,1153.95,3.74,1,3,0,8106.95,0,0
1307.21,101.5,1408.72,0.41,2,0,0,14153.62,1,0
1048.2,1665.22,2713.42,2.87,2,1,0,4311.74,0,1
1306.97,230.42,1537.39,7.45,0,3,0,8531.74,1,0
148.76,890.67,1039.43,0.69,1,0,0,13650.71,0,0
810.03,3054.61,3864.64,1.49,2,0,1,13671.28,0,2
858.05,2152.89,3010.94,2.57,2,2,1,10322.76,2,2
103.79,1695.37,1799.16,0.09,2,3,0,2326.05,0,0
87.88,197.41,285.29,0.96,1,0,0,7990.05,0,0
1440.49,1069.76,2510.24,3.17,1,0,1,1431.16,0,2
1006.84,7753.53,8760.37,3.04,2,1,0,8917.94,0,1
922.88,1204.04,2126.92,1.74,1,0,0,6130.12,2,1
1284.67,4668.97,5953.64,0.99,1,1,0,14111.92,0,1
556.55,1159.92,1716.47,13.15,3,1,0,14016.41,2,1
616.72,816.35,1433.07,2.06,2,0,0,2018.44,0,0
312.52,193.07,505.59,6.03,2,0,0,7959.1,0,1
297.55,804.56,1102.11,0.56,0,0,0,12119.95,0,0
537.09,715.69,1252.78,1.95,1,0,0,7115.16,0,0
765.48,1482.93,2248.41,2.55,2,0,0,12094.01,0,0
372.17,669.19,1041.36,2.5,1,0,0,8627.03,0,0
605.16,112.74,717.9,4.57,1,2,1,6216.43,0,2
388.25,3356.42,3744.67,4.02,2,0,1,2658.01,0,2
760.04,281.9,1041.94,15.48,1,3,0,5124.31,0,0
172.25,531.83,704.07,0.14,1,0,0,8700.08,1,0
151.59,189.35,340.94,2.31,0,0,0,4278.78,0,0
76.49,60.57,137.05,1.3,1,0,0,10204.03,0,0
225.46,1966.12,2191.58,2.66,1,3,0,12562.95,0,0
1641.61,71.19,1712.8,2.61,1,2,1,8997.04,0,2
482.62,3320.6,3803.22,1.64,1,3,0,3648.06,0,0
140.74,2260.48,2401.22,1.88,2,2,1,2433.53,1,2
2874.24,1983.18,4857.41,2.85,2,2,1,12047.21,0,2
365.4,1657.28,2022.68,0.18,1,0,0,4324.26,1,0
792.99,2017.75,2810.75,3.03,0,3,0,1181.36,0,0
3700.96,1675.87,5376.83,1.92,2,2,1,12287.66,0,2
1005.0,698.59,1703.59,0.2,2,3,0,3872.66,0,0
258.87,330.53,589.4,0.03,2,0,0,8461.14,0,0
260.12,499.56,759.68,0.18,1,1,0,13833.73,0,1
668.4,998.83,1667.23,1.05,2,0,0,3307.13,0,0
361.93,2565.36,2927.29,0.47,3,0,1,2075.35,0,2
378.25,171.24,549.48,0.25,2,0,0,13934.77,0,0
164.08,1156.47,1320.55,0.93,0,0,0,5252.85,0,0
110.69,1278.43,1389.12,0.52,1,1,0,9626.68,0,1
1769.29,3151.72,4921.02,0.36,2,1,0,11526.05,3,1
822.8,1092.16,1914.96,3.22,0,3,0,4119.16,0,0
318.85,37.87,356.72,15.17,1,1,0,2480.27,0,1
159.05,98.78,257.82,1.14,2,0,0,8028.09,2,1
393.05,3056.0,3449.05,1.47,1,1,0,4935.15,1,1
1265.37,596.92,1862.29,7.22,3,1,0,10317.12,1,1
633.91,1871.67,2505.58,1.67,1,0,1,5647.38,0,2
242.09,653.8,895.89,2.57,1,2,1,12067.86,0,2
290.89,1157.09,1447.98,0.04,2,1,0,2825.55,0,1
562.26,1114.62,1676.87,5.33,1,1,0,9102.19,2,1
850.34,100.91,951.25,2.47,3,0,0,303.23,0,0
687.27,802.91,1490.18,5.09,2,0,0,4045.76,0,1
677.99,1004.86,1682.84,1.0,0,0,0,8991.17,0,0
969.16,1639.46,2608.61,2.98,2,1,0,3686.62,0,1
1831.39,733.62,2565.01,2.61,1,0,1,1793.33,0,2
1480.57,1053.36,2533.94,6.73,2,1,0,875.88,0,1
79.95,939.2,1019.15,8.41,2,0,0,9848.11,0,1
173.28,1844.26,2017.54,18.97,0,1,0,7952.41,0,1
23.96,858.73,882.69,14.33,1,0,1,1599.24,0,2
395.07,1465.07,1860.14,0.89,2,3,0,10870.3,0,0
939.71,84.82,1024.53,0.47,2,0,0,1832.48,0,0
846.04,264.53,1110.58,0.67,2,1,0,6829.42,0,1
498.81,1017.06,1515.87,0.34,1,3,0,11284.97,0,0
1485.08,59.07,1544.15,1.83,1,3,0,2021.79,0,0
967.2,81.27,1048.47,0.25,3,1,0,5389.73,0,1
584.41,1914.59,2499.0,1.02,1,0,0,5393.82,1,0
472.03,1489.16,1961.18,1.69,1,0,0,3666.61,0,0
1268.63,967.31,2235.94,11.09,0,3,0,7812.68,0,0
62.28,711.64,773.92,4.57,2,0,0,9413.86,0,0
641.2,235.36,876.56,5.94,2,1,0,7193.24,0,1
1380.58,626.09,2006.67,4.82,0,2,1,5200.78,1,2
423.67,1315.36,1739.02,1.6,2,0,0,520.05,0,0
470.12,184.13,654.26,2.29,3,0,0,8329.84,0,0
466.25,1036.71,1502.97,0.3,2,2,1,12802.89,0,2
81.98,209.97,291.95,3.92,2,2,1,1691.63,0,2
5973.38,227.67,6201.04,1.09,2,1,0,5664.32,1,1
333.94,905.13,1239.07,4.13,1,2,1,6114.34,2,2
193.77,1132.03,1325.8,0.07,2,0,0,5742.68,0,0
557.77,83.23,641.0,1.97,1,0,0,3202.65,0,0
586.79,39.97,626.76,1.48,3,1,0,10187.86,0,1
1297.32,2287.1,3584.42,3.66,1,3,0,11331.82,0,0
204.22,462.04,666.27,6.48,3,0,0,5380.92,0,1
317.27,573.47,890.74,2.86,2,1,0,10082.31,0,1
455.23,1041.7,1496.93,0.32,1,3,0,7053.58,2,0
1233.22,88.67,1321.88,1.07,2,1,0,1789.47,0,1
3535.25,406.63,3941.88,2.09,1,0,1,10628.97,0,2
516.71,123.53,640.24,1.41,2,0,0,12136.69,0,0
665.59,446.14,1111.73,3.95,3,0,0,10773.25,2,1
512.13,821.19,1333.32,3.51,0,1,0,7607.94,1,1
468.28,55.78,524.06,0.28,2,0,0,5010.0,0,0
194.51,560.63,755.14,0.14,2,0,0,7405.66,0,0
3312.24,614.83,3927.07,0.34,1,0,1,6445.81,0,2
911.53,1961.23,2872.76,2.22,0,2,1,3167.72,0,2
1114.57,83.78,1198.35,6.62,2,0,0,2757.14,0,1
110.17,1040.44,1150.61,0.25,2,0,0,13715.84,1,0
802.85,1336.91,2139.76,2.68,1,3,0,3088.41,2,0
376.39,301.07,677.46,5.88,1,1,0,4615.68,0,1
1533.56,149.44,1683.0,1.02,0,0,0,2356.02,1,0
2276.87,1612.69,3889.56,3.94,2,0,1,13804.91,1,2
147.27,3892.33,4039.6,1.85,3,0,1,13808.57,0,2
2156.11,454.46,2610.57,6.46,2,0,1,4240.58,1,2
225.63,234.9,460.52,0.47,3,0,0,8745.41,0,0
29.75,869.27,899.02,0.63,1,2,1,4025.75,2,2
1403.2,608.3,2011.5,0.08,2,3,0,13735.57,0,0
1634.36,698.78,2333.14,0.57,3,3,0,1077.83,0,0
66.42,38.9,105.32,2.97,2,1,0,5543.97,0,1
483.16,2970.51,3453.67,8.64,1,0,1,832.5,0,2
84.74,2036.76,2121.5,0.5,2,1,0,485.0,0,1
2863.34,276.82,3140.16,1.7,3,2,1,10145.39,1,2
3348.5,111.7,3460.2,11.4,1,1,0,6463.98,0,1
1213.8,693.0,1906.8,4.09,1,0,0,14259.16,0,0
302.54,844.28,1146.82,2.08,2,1,0,9743.61,1,1
1245.21,1892.18,3137.39,2.67,1,0,1,13285.41,0,2
1075.12,1572.74,2647.86,2.61,1,2,1,1004.18,0,2
421.33,153.96,575.29,8.51,0,0,0,10813.44,0,1
692.04,808.05,1500.08,3.33,2,0,0,10637.7,0,0
448.4,471.8,920.2,1.74,2,0,0,2984.99,1,0
1490.43,2316.58,3807.01,0.94,2,1,0,7821.45,0,1
246.32,1297.46,1543.78,4.6,2,0,0,2444.84,1,0
829.38,791.49,1620.87,1.95,2,0,0,10867.99,3,1
626.33,878.75,1505.07,9.82,2,1,0,6695.56,0,1
659.21,692.69,1351.9,0.18,3,1,0,3863.53,0,1
252.07,4003.5,4255.57,2.84,3,0,1,7596.69,0,2
615.14,2330.92,2946.06,7.91,1,2,1,8249.04,0,2
151.92,40.34,192.26,0.65,2,0,0,598.06,0,0
806.57,546.85,1353.41,3.85,2,2,1,2344.1,0,2
2308.01,628.3,2936.31,0.13,3,0,1,1454.94,0,2
1489.59,1786.21,3275.8,6.2,2,2,1,13391.91,0,2
1663.6,1771.5,3435.11,2.25,2,3,0,4785.07,0,0
393.77,963.56,1357.32,4.88,1,0,0,6019.64,0,0
2806.86,163.33,2970.19,3.15,1,0,1,7969.85,0,2
279.34,345.25,624.59,7.29,2,0,0,5631.94,0,1
364.78,598.42,963.2,0.14,3,0,0,13357.26,0,0
466.58,2040.63,2507.21,2.55,2,1,0,2821.11,1,1
185.66,548.0,733.66,13.02,1,0,1,1183.77,0,2
864.35,48.17,912.52,2.75,1,3,0,6074.46,0,0
183.14,395.91,579.05,8.34,2,3,0,4195.95,1,0
446.93,294.62,741.56,0.62,1,0,0,12622.6,0,0
543.92,1838.61,2382.53,2.23,1,1,0,6509.62,1,1
2809.73,61.64,2871.37,1.06,2,1,0,14807.79,0,1
426.67,2872.59,3299.26,3.1,3,0,1,6323.86,3,2
76.2,466.63,542.83,1.58,2,3,0,5760.87,0,0
1937.8,344.04,2281.84,1.62,3,2,1,8729.03,1,2
183.78,1146.89,1330.67,1.75,2,3,0,678.11,2,0
516.93,485.2,1002.13,4.44,1,1,0,2649.18,0,1
258.66,1088.9,1347.56,0.5,2,0,0,427.53,0,0
120.76,883.2,1003.95,1.79,3,0,0,13195.33,0,0
604.4,615.87,1220.27,1.71,3,0,0,14623.93,0,0
1368.08,672.09,2040.18,0.24,2,0,0,3431.68,1,0
642.33,748.81,1391.14,4.92,1,0,0,7330.47,1,0
1072.19,35.33,1107.52,11.17,1,0,1,9858.12,0,2
1238.71,938.6,2177.31,3.44,0,1,0,4861.88,0,1
934.35,469.0,1403.35,7.34,2,2,1,5329.54,1,2
2231.16,258.72,2489.88,0.49,2,3,0,11324.36,0,0
114.3,898.61,1012.92,7.05,2,0,0,13609.13,2,1
327.72,1195.63,1523.35,0.28,2,1,0,811.94,0,1
532.76,3245.45,3778.21,3.79,2,1,0,13045.14,0,1
170.68,1265.54,1436.22,2.35,1,1,0,14219.59,0,1
793.2,1559.23,2352.44,0.67,0,0,0,2758.92,0,0
67.67,127.2,194.87,2.09,1,0,0,236.57,0,0
259.57,1997.11,2256.68,1.85,2,1,0,10535.18,0,1
668.52,44.42,712.94,1.28,0,0,0,235.56,1,0
1212.09,3527.39,4739.48,0.32,1,0,1,1694.17,1,2
932.12,1451.78,2383.9,2.96,1,0,0,4100.65,3,1
34.71,1898.24,1932.95,1.71,3,0,0,5141.68,0,0
552.23,213.31,765.54,2.63,2,1,0,5387.2,0,1
1027.94,789.91,1817.85,0.51,1,3,0,14059.12,2,0
318.37,356.24,674.61,2.76,3,3,0,1361.27,0,0
881.53,1644.35,2525.88,0.06,2,0,1,14176.78,0,2
283.87,2021.78,2305.65,1.53,3,0,0,5815.77,0,0
759.96,1106.01,1865.97,2.25,2,1,0,12930.59,0,1
1445.59,815.7,2261.29,0.78,1,1,0,9592.01,3,1
211.59,1257.88,1469.46,1.19,3,0,0,4920.52,2,1
1414.6,204.62,1619.22,0.83,1,2,1,8820.39,0,2
591.9,587.72,1179.63,0.0,2,0,0,4341.65,0,0
624.53,118.49,743.02,1.57,1,0,0,12865.28,1,0
2498.48,1766.08,4264.56,5.81,1,0,1,1313.96,0,2
3435.02,330.21,3765.23,0.7,1,1,0,14535.34,0,1
826.49,1165.29,1991.78,5.63,1,0,0,4177.63,1,1
566.84,853.76,1420.6,1.2,1,0,0,1993.95,0,0
565.64,643.45,1209.09,4.57,1,0,0,4007.89,0,0
2221.76,5901.85,8123.61,0.04,1,0,1,6511.71,0,2
402.68,2306.58,2709.27,1.3,2,0,1,8396.59,0,2
290.66,557.08,847.74,5.13,0,1,0,3702.29,0,1
510.36,379.62,889.98,5.05,3,1,0,3679.65,0,1
413.55,62.26,475.81,3.29,2,0,0,9029.24,0,0
105.29,370.25,475.53,8.95,1,1,0,7776.36,2,1
152.71,379.99,532.7,4.33,1,0,0,11376.16,0,0
1628.31,744.23,2372.55,3.44,1,1,0,12006.32,0,1
427.33,42.18,469.51,5.99,2,3,0,13994.31,0,0
970.05,112.23,1082.28,1.27,2,2,1,13842.39,0,2
1824.61,1246.91,3071.53,1.31,2,0,1,2162.12,0,2
742.06,478.48,1220.54,6.13,2,0,0,119.14,0,1
588.01,2144.7,2732.71,3.87,1,0,1,5867.05,0,2
718.15,2480.95,3199.1,4.22,1,0,1,7347.44,0,2
952.15,1750.26,2702.41,3.45,1,0,1,5181.61,0,2
820.4,1000.03,1820.43,0.31,2,1,0,4587.52,0,1
2039.14,1914.15,3953.29,0.61,2,0,1,12185.46,0,2
247.06,825.0,1072.06,1.16,2,1,0,3765.4,0,1
969.83,527.73,1497.56,0.68,1,0,0,896.18,0,0
353.93,60.49,414.41,2.37,1,0,0,2033.77,2,1
183.85,456.97,640.82,13.94,0,0,1,12833.07,0,2
1001.68,2146.79,3148.46,4.02,3,0,1,4675.61,1,2
492.48,2081.16,2573.64,3.18,2,0,1,9360.46,2,2
998.19,1000.99,1999.18,0.77,2,3,0,7613.53,0,0
939.83,1987.33,2927.15,5.67,2,1,0,3866.21,0,1
260.67,204.9,465.58,0.12,2,2,1,11270.91,0,2
790.32,4165.99,4956.31,2.26,2,2,1,13236.37,0,2
766.0,1376.7,2142.7,0.4,1,0,0,1447.24,0,0
800.34,1208.82,2009.16,2.75,2,0,0,8155.1,0,0
102.59,788.12,890.71,9.89,2,0,0,5933.9,3,1
281.24,85.86,367.1,5.35,1,0,0,8986.26,1,1
376.07,122.54,498.61,5.81,1,1,0,8873.27,2,1
1382.27,196.87,1579.14,5.84,2,1,0,5210.2,0,1
296.41,2791.81,3088.22,3.91,3,2,1,12856.69,1,2
1139.92,246.45,1386.37,5.62,2,3,0,7314.78,2,0
722.26,651.15,1373.41,0.83,0,1,0,3003.12,1,1
503.07,361.95,865.02,5.78,1,3,0,13644.18,1,0
586.18,1007.48,1593.66,1.3,1,0,0,10382.12,0,0
25.13,1475.79,1500.92,0.8,1,1,0,4010.0,0,1
1109.89,623.62,1733.51,1.0,1,1,0,4349.28,2,1
283.66,2258.43,2542.09,0.2,2,2,1,9698.77,1,2
1776.77,345.82,2122.58,1.34,2,1,0,13621.2,2,1
1090.25,341.16,1431.41,0.13,0,1,0,9054.26,0,1
718.63,1765.13,2483.76,5.93,2,1,0,3172.42,0,1
137.77,751.25,889.01,3.42,0,1,0,2133.89,1,1
1339.57,3272.15,4611.71,1.4,2,0,1,10044.49,3,2
138.36,748.78,887.14,1.28,2,0,0,4850.38,0,0
186.72,518.64,705.36,5.57,1,0,0,3343.73,2,1
148.97,423.36,572.32,0.63,0,0,0,7434.02,0,0
180.64,1452.03,1632.67,0.56,2,0,0,2776.8,0,0
47.29,174.19,221.47,2.71,2,2,1,11913.32,0,2
47.99,771.06,819.05,2.21,1,2,1,6470.37,0,2
901.12,1653.59,2554.71,1.84,1,0,1,7507.79,1,2
589.74,93.8,683.54,0.77,1,3,0,1532.28,1,0
655.19,1807.56,2462.74,1.3,2,0,0,3026.98,0,0
40.78,5921.76,5962.55,0.93,2,0,1,1963.82,0,2
424.91,1093.2,1518.11,0.96,1,3,0,5815.15,0,0
98.08,56.11,154.19,4.43,2,0,0,3983.93,0,0
